MESHTERM	1963-1974	1975-1988	1989-1994	1995-2001	2002-2008	2009-2015
Humans	18	810	844	2138	4218	5824
Education, Medical	44	544	526	1006	1444	2080
Curriculum	8	438	442	836	1542	1940
Female	12	124	152	470	1112	1898
Male	10	128	130	426	1050	1874
Internship and Residency	4	328	292	538	1258	1758
Clinical Competence	0	142	160	354	1126	1684
Education, Medical, Undergraduate	4	414	380	572	1308	1492
Students, Medical	4	202	142	290	858	1428
Education, Medical, Graduate	10	212	242	408	884	1282
United States	6	436	372	650	1040	1272
Adult	10	70	82	320	782	1226
Questionnaires	0	80	162	366	856	1144
Educational Measurement	4	192	116	226	698	1070
Education, Medical, Continuing	14	392	254	610	812	818
Attitude of Health Personnel	2	138	108	240	598	792
Teaching	10	214	244	400	694	786
Schools, Medical	12	174	118	306	654	762
Faculty, Medical	4	130	74	204	398	590
Program Evaluation	0	4	62	196	580	586
Learning	4	52	44	124	272	538
Middle Aged	0	30	32	146	318	476
Young Adult	0	0	0	0	30	464
Models, Educational	0	0	8	120	314	416
Data Collection	0	20	32	108	236	408
Physicians	6	84	50	116	216	406
Accreditation	0	30	46	70	292	392
Cross-Sectional Studies	0	2	2	50	140	362
Internet	0	0	0	118	314	336
Physician-Patient Relations	0	88	88	148	276	328
Health Knowledge, Attitudes, Practice	0	0	18	78	194	326
Germany	0	16	20	118	198	298
Career Choice	0	48	54	86	166	294
Problem-Based Learning	0	0	4	172	350	290
Program Development	0	0	38	68	230	278
General Surgery	0	38	22	94	196	278
Communication	0	38	32	76	212	272
Great Britain	4	42	62	128	192	260
Computer-Assisted Instruction	0	32	70	164	200	252
Retrospective Studies	0	4	6	32	118	248
Workload	0	0	4	26	164	242
Competency-Based Education	0	10	0	20	208	230
Pediatrics	2	30	34	90	136	228
Qualitative Research	0	0	0	0	46	226
Professional Competence	0	8	12	44	212	224
Time Factors	0	52	44	32	144	224
Aged	0	42	18	74	130	224
Family Practice	2	164	118	344	362	220
Canada	16	44	38	84	106	220
Internal Medicine	0	56	62	94	178	216
Cooperative Behavior	0	0	0	8	62	214
Pilot Projects	0	18	26	58	100	210
Patient Simulation	0	0	4	36	126	186
Personnel Staffing and Scheduling	0	2	20	14	146	182
Reproducibility of Results	0	0	4	28	106	180
Evidence-Based Medicine	0	0	0	40	178	178
Physician's Practice Patterns	0	4	22	40	104	174
Clinical Clerkship	0	26	30	68	142	170
Fellowships and Scholarships	0	14	8	30	104	170
Focus Groups	0	0	0	14	80	162
Quality Improvement	0	0	0	0	0	162
History, 20th Century	2	40	56	114	152	158
Prospective Studies	0	4	4	26	84	158
Adolescent	0	6	8	26	114	156
Academic Medical Centers	0	14	26	80	98	156
Emergency Medicine	0	8	28	62	148	154
Computer Simulation	0	2	20	36	102	154
Mentors	0	2	8	20	58	154
Educational Status	0	2	14	10	82	152
Interviews as Topic	0	20	10	12	104	148
Interprofessional Relations	0	18	18	60	116	138
Physician's Role	0	18	32	34	94	136
Medical Staff, Hospital	2	50	46	76	84	136
Needs Assessment	0	0	2	62	84	136
Primary Health Care	0	76	44	114	136	134
Leadership	0	2	10	32	100	134
User-Computer Interface	0	0	8	38	92	130
Biomedical Research	0	0	4	2	72	128
Feedback	0	30	8	22	68	128
Ethics, Medical	2	34	44	102	78	124
Research	6	34	56	82	102	118
Societies, Medical	0	32	36	68	90	118
Decision Making	0	26	10	34	68	118
Hospitals, Teaching	2	88	68	88	126	116
Cohort Studies	0	0	6	22	70	116
Motivation	0	22	14	34	42	116
Work Schedule Tolerance	0	2	6	4	92	114
Netherlands	0	10	4	32	90	114
Delivery of Health Care	0	42	14	54	88	112
School Admission Criteria	0	42	30	46	86	112
Specialization	2	82	72	122	186	110
Australia	0	54	32	60	82	104
Staff Development	0	2	6	22	68	104
Quality of Health Care	2	62	26	28	112	102
Certification	0	34	26	32	72	102
Child	0	14	8	30	88	100
Sex Factors	0	26	12	36	56	100
International Cooperation	0	8	14	34	78	98
Patient Care Team	0	12	8	24	50	98
Anesthesiology	0	6	10	34	46	96
General Practice	0	0	0	0	0	94
Medicine	2	62	40	74	114	92
Forecasting	0	24	54	106	98	92
Global Health	0	0	4	8	46	92
Guidelines as Topic	0	0	0	30	96	90
Diffusion of Innovation	0	2	0	10	46	90
Research Design	0	6	4	8	38	90
Education, Distance	0	0	0	34	130	88
Patient-Centered Care	0	0	0	8	34	88
Empathy	0	8	2	22	54	86
Self-Assessment	0	12	4	12	44	86
Rural Health Services	0	0	0	54	74	84
Health Care Surveys	0	0	2	14	70	84
Psychiatry	0	56	6	22	62	84
Patient Safety	0	0	0	0	0	84
Physicians, Family	0	46	56	92	122	82
Radiology	0	12	14	30	50	82
Public Health	4	2	20	34	42	82
Orthopedics	0	6	8	20	40	82
History, 19th Century	0	40	38	64	78	80
Perception	0	4	4	20	36	80
Quality Assurance, Health Care	0	10	16	92	110	78
Anatomy	0	10	12	32	66	78
History, 21st Century	0	0	0	0	48	78
Health Services Needs and Demand	0	6	20	20	34	78
Longitudinal Studies	0	10	0	20	32	78
Analysis of Variance	0	6	8	24	54	76
Psychometrics	0	0	0	2	36	76
Specialty Boards	0	6	14	16	78	74
Interpersonal Relations	0	12	12	26	60	74
Obstetrics	0	12	20	20	50	74
Group Processes	0	14	4	6	44	72
Universities	4	6	18	26	58	70
Practice Guidelines as Topic	0	0	4	34	62	68
Feasibility Studies	0	0	4	20	52	68
Otolaryngology	0	0	4	10	36	68
Interdisciplinary Communication	0	2	10	6	30	68
Internationality	0	0	2	0	30	68
Statistics as Topic	8	22	2	2	8	68
Aged, 80 and over	0	0	6	8	44	66
Manikins	0	2	2	4	40	66
Health Personnel	0	0	2	10	30	66
Social Responsibility	0	12	14	22	22	66
Software	0	8	40	52	70	64
Gynecology	0	14	22	16	54	64
Stress, Psychological	0	32	20	8	44	64
Brazil	0	12	2	4	22	64
Cultural Competency	0	0	0	0	8	64
Physicians, Primary Care	0	0	0	0	0	64
Goals	0	20	26	24	44	62
Patient Care	0	0	4	10	42	62
Professional Role	0	0	0	0	42	62
Medically Underserved Area	0	14	8	46	40	62
Personal Satisfaction	0	4	4	6	36	62
Job Satisfaction	0	0	2	24	34	62
Logistic Models	0	0	0	10	18	62
Teaching Rounds	0	0	0	0	0	60
Self Efficacy	0	0	0	0	16	58
Japan	0	2	18	36	72	56
Europe	0	12	22	46	44	56
New Zealand	0	22	8	12	34	56
Licensure, Medical	0	26	10	8	74	54
Consumer Behavior	0	16	4	18	66	54
Periodicals as Topic	0	10	6	14	50	54
Peer Group	0	2	0	10	38	54
Health Care Reform	0	0	22	44	32	54
Personnel Selection	0	12	8	14	26	54
Socioeconomic Factors	0	6	6	10	18	54
Risk Assessment	0	2	8	8	18	54
Neurosurgery	0	4	0	12	14	54
Geriatrics	0	36	8	22	68	52
Patient Satisfaction	0	0	0	24	38	52
Physician Executives	0	2	4	24	36	52
Humanities	0	10	10	28	26	52
China	0	16	10	12	26	52
Documentation	0	0	0	10	20	52
Ireland	0	2	4	12	18	52
Osteopathic Medicine	0	8	36	28	76	50
Medical Errors	0	0	0	10	50	50
Community Health Services	0	18	10	34	46	50
Physical Examination	0	14	10	14	30	50
Statistics, Nonparametric	0	0	0	12	24	50
Problem Solving	0	42	62	20	18	50
Models, Theoretical	2	50	28	12	18	50
General Practitioners	0	0	0	0	0	50
Developing Countries	0	12	14	16	60	48
Attitude	0	50	24	42	58	48
Quality Control	2	4	8	26	38	48
Hospitals, University	0	10	14	12	38	48
Risk Factors	0	0	4	16	36	48
Congresses as Topic	0	0	4	6	30	48
